application_id,customer_id,related_parties_id,document_id,document_url,db_status,s3_status
941,957,,5728,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/957/CUSTOMER_ADDRESS_VERIFICATION.jpg,,
941,957,,5729,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/957/CUSTOMER_ELECTRICITY.jpg,,
941,957,355,5730,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/related-party/355/CUSTOMER_WITH_CO_BORROWER_PHOTO.jpg,,
941,957,,5744,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/957/CUSTOMER_WITH_HOUSE_PHOTO.jpg,,
941,957,,5745,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/957/CUST_HOUSE_IN.jpg,,
941,957,,5746,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/957/CUST_HOUSE_OUT.jpg,,
941,957,,5747,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/957/AGREEMENT_SIGNED_LAST_PAGE.jpg,,
941,957,,5748,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/957/CUSTOMER_AADHAAR_CARRYING_PHOTO.jpg,,
941,957,,5749,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/957/CHEQUE_PHOTO.jpg,,
940,956,356,5768,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/related-party/356/CUSTOMER_WITH_GUARANTOR_PHOTO.jpg,,
940,956,357,5772,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/related-party/357/CUSTOMER_WITH_CO_BORROWER_PHOTO.jpg,,
940,956,,5778,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/956/CUSTOMER_WITH_HOUSE_PHOTO.jpg,,
940,956,,5779,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/956/CUST_HOUSE_OUT.jpg,,
940,956,,5780,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/956/CHEQUE_PHOTO.jpg,,
1013,1029,,6998,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1029/CUSTOMER_ADDRESS_VERIFICATION.jpg,,
1013,1029,419,7000,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/related-party/419/CUSTOMER_WITH_GUARANTOR_PHOTO.jpg,,
